,1st familiar fit error,2nd familiar fit error,novel fit error
"(('familiar_individual_sigma', -0.3), ('sigma', -0.3))",0.5151875686793864,0.40347018746533475,0.6508662920903582
"(('familiar_individual_sigma', -0.3), ('sigma', 0))",0.7594741956781526,0.6523765673466096,0.08221921872856183
"(('familiar_individual_sigma', -0.3), ('sigma', 0.3))",0.8755383311562188,0.6626287204828699,0.23177875518009006
"(('familiar_individual_sigma', 0), ('sigma', -0.3))",0.39573066107152166,0.5354923196456581,0.3144636759471073
"(('familiar_individual_sigma', 0), ('sigma', 0))",0.4917029359963306,0.7862234877313342,0.350803515491075
"(('familiar_individual_sigma', 0), ('sigma', 0.3))",0.4060379953175147,0.8226652033404337,0.4183910571555391
"(('familiar_individual_sigma', 0.3), ('sigma', -0.3))",0.49785192869292383,0.6169198275062607,0.7385210502423281
"(('familiar_individual_sigma', 0.3), ('sigma', 0))",0.8763017309440464,1.2015221542525514,0.1811014113343787
"(('familiar_individual_sigma', 0.3), ('sigma', 0.3))",0.5159282710876508,1.1728486358621535,0.7972553910926272
